name,team,pit,pip,in
Fernando Rodney,OAK/WSH,33,16.5,2.0
Oliver Perez,CLE,21,21.0,1.0
Edinson Volquez,TEX,12,12.0,1.0
Andrew Miller,STL,10,30.0,0.3333333333333333
Tyler Clippard,CLE,52,12.0,4.333333333333333
Ian Kennedy,KC,13,13.0,1.0
Wade Davis,COL,8,8.0,1.0
David Price,BOS,15,22.5,0.6666666666666666
Neil Ramirez,CLE/TOR,43,21.5,2.0
David Hernandez,CIN,30,15.0,2.0
Anthony Swarzak,SEA/ATL,15,15.0,1.0
Ryan Brasier,BOS,18,18.0,1.0
Shawn Kelley,TEX,70,13.1,5.34351145038168
Dan Otero,CLE,18,13.5,1.3333333333333333
Aroldis Chapman,NYY,31,23.3,1.3304721030042919
Blake Parker,MIN/PHI,24,12.0,2.0
Jeremy Jeffress,MIL,22,13.2,1.6666666666666667
Brandon Kintzler,CHC,10,10.0,1.0
Steve Cishek,CHC,12,12.0,1.0
Drew Pomeranz,MIL/SF,27,16.2,1.6666666666666667
Wilmer Font,TOR/NYM/TB,39,19.5,2.0
Brad Hand,CLE,36,15.4,2.3376623376623376
Martin Perez,MIN,100,12.5,8.0
Alex Colome,CHW,38,11.4,3.333333333333333
Trevor May,MIN,27,20.3,1.3300492610837438
Carlos Martinez,STL,12,12.0,1.0
Jose Cisnero,DET,28,14.0,2.0
Chad Bettis,COL,30,8.2,3.658536585365854
Heath Hembree,BOS,46,17.3,2.658959537572254
Tyler Thornburg,BOS,36,18.0,2.0
Kelvin Herrera,CHW,20,30.0,0.6666666666666666
Dillon Maples,CHC,29,21.8,1.3302752293577982
Scott Barlow,KC,26,15.6,1.6666666666666667
Taylor Guerrieri,TEX,5,7.5,0.6666666666666666
Jake Diekman,KC/OAK,63,17.2,3.662790697674419
Rafael Montero,TEX,13,13.0,1.0
Nick Goody,CLE,17,17.0,1.0
Lucas Giolito,CHW,107,11.9,8.991596638655462
Buddy Boshers,TOR,19,14.3,1.3286713286713285
Josh Hader,MIL,35,17.5,2.0
Yimi Garcia,LAD,39,10.6,3.679245283018868
Chris Martin,TEX/ATL,20,10.0,2.0
Burch Smith,MIL/SF,30,12.9,2.3255813953488373
Scott Alexander,LAD,9,0.0,
Dominic Leone,STL,21,12.6,1.6666666666666667
Hunter Harvey,BAL,33,33.0,1.0
Carl Edwards Jr.,CHC/SD,14,14.0,1.0
Julio Urias,LAD,40,13.3,3.007518796992481
Devin Williams,MIL,8,8.0,1.0
Michael Feliz,PIT,31,13.3,2.3308270676691727
Michael Lorenzen,CIN,24,12.0,2.0
Scott Oberg,COL,45,13.5,3.3333333333333335
Nick Wittgren,CLE,15,15.0,1.0
Wes Parsons,ATL/COL,6,9.0,0.6666666666666666
Kyle Ryan,CHC,32,32.0,1.0
James Hoyt,CLE,15,15.0,1.0
Raisel Iglesias,CIN,11,33.0,0.3333333333333333
Buck Farmer,DET,30,18.0,1.6666666666666667
Amir Garrett,CIN,32,19.2,1.6666666666666667
Jandel Gustave,SF,25,12.5,2.0
Yoan Lopez,ARI,23,13.8,1.6666666666666665
Nick Burdi,PIT,34,17.0,2.0
Miguel Diaz,SD,34,10.2,3.3333333333333335
Tyler Webb,STL,9,9.0,1.0
Kyle Freeland,COL,109,18.2,5.989010989010989
Jarlin Garcia,MIA,138,13.8,10.0
Sean Newcomb,ATL,124,16.2,7.654320987654321
Paul Fry,BAL,12,18.0,0.6666666666666666
Jose Osuna,PIT,7,21.0,0.3333333333333333
DJ Johnson,COL,22,33.0,0.6666666666666666
JT Chargois,LAD,6,6.0,1.0
Williams Jerez,PIT/SF,20,10.0,2.0
Kenta Maeda,LAD,86,14.3,6.013986013986013
Seunghwan Oh,COL,8,8.0,1.0
Dillon Tate,BAL,22,13.2,1.6666666666666667
Enyel De Los Santos,PHI,29,14.5,2.0
